site_clear_table_group6_20260912_093953	0	GOOD
site_clear_table_group6_20260912_093953	1	GOOD
site_clear_table_group6_20260912_093953	2	GOOD
site_clear_table_group6_20260912_093953	3	GOOD
site_clear_table_group6_20260912_095322	0	GOOD
site_clear_table_group6_20260912_095322	1	GOOD
site_clear_table_group6_20260912_095322	2	GOOD
site_clear_table_group6_20260912_095322	3	GOOD
site_clear_table_group6_20260912_095322	4	GOOD
site_clear_table_group6_20260912_095322	5	GOOD
site_clear_table_group6_20260912_095322	6	GOOD
site_clear_table_group6_20260912_095322	7	GOOD
site_clear_table_group6_20260912_095322	8	GOOD
site_clear_table_group6_20260912_095322	9	GOOD
site_clear_table_group6_20260912_095322	10	GOOD
site_clear_table_group6_20260912_095322	11	GOOD
site_clear_table_group6_20260912_095322	12	GOOD
site_clear_table_group6_20260912_095322	13	GOOD
site_clear_table_group6_20260912_095322	14	GOOD
site_clear_table_group6_20260912_095322	15	BAD
site_clear_table_group6_20260912_095322	16	GOOD
site_clear_table_group6_20260912_095322	17	GOOD
site_clear_table_group6_20260912_095322	18	GOOD
site_clear_table_group6_20260912_095322	19	GOOD
site_clear_table_group6_20260912_104510	0	GOOD
site_clear_table_group6_20260912_104510	1	GOOD
site_clear_table_group6_20260912_104510	2	GOOD
site_clear_table_group6_20260912_104510	3	GOOD
site_clear_table_group6_20260912_104510	4	GOOD
site_clear_table_group6_20260912_104510	5	GOOD
site_clear_table_group6_20260912_104510	6	GOOD
site_clear_table_group6_20260912_104510	7	GOOD
site_clear_table_group6_20260912_111843	0	GOOD
site_clear_table_group6_20260912_111843	1	GOOD
site_clear_table_group6_20260912_111843	2	GOOD
site_clear_table_group6_20260912_111843	3	GOOD
site_clear_table_group6_20260912_111843	4	GOOD
site_clear_table_group6_20260912_111843	5	GOOD
site_clear_table_group6_20260912_111843	6	GOOD
